uitgang, de;exit, the;5
uitlaten (de hond -);to walk the dog;4
uitleggen;to explain;10
uitnemen;to take out;6
uitnodiging, de;invitation, the;5
uitslapen;to sleep late;4
uitspraak, de;pronunciation, the;3
uitstappen;to get out;6
uitstekend;excellent;1
uittrekken;to take off;7
uitzoeken;to choose, to select;10
universiteit, de;university, the;4
uur, het;hour, the;4
vaak;often;6
vader, de;father, the;3
vakantie, de;holidays, the;8
vakantiebestemming, de;holiday destination, the;8
van;of / from;1
van alles en nog wat;all sorts of things and more;9
van tevoren;beforehand;8
vanaf;starting at;5
vanavond;this evening, tonight;2
vandaag;today;6
vandaan;from;1
vanmiddag;this afternoon;2
vanmorgen;this morning;8
vannacht;last night;8
varen;to travel by boat;8
varkensvlees, het;pork, the;9
veel;much, many;1
veel;a lot, much;2
vegetarisch;vegetarian;9
vel, het;skin, the;1
ver;far;7
ver weg;far away;7
verbranden;to get a sunburn;8
verder;then / further;6
verdieping, de;floor, storey, the;7
vergelijken;to compare;7
vergeten;to forget;5
verhuizen;to move;7
verkopen;to sell;10
verkoper, de;salesman, the;10
verliefd;in love;4
vermaken (zich -);to enjoy oneself;8
vermoeiend;tiring;8
vertellen;to tell;1
vertraging, de;delay, the;6
vertrekken;to leave;6
vertrektijd, de;departure time, the;6
vervolgens;next;6
vest, het;cardigan, the;10
vet;greasy / fat;4
veter, de;shoelace, the;10
V-hals, de;V-neck, the;10
vier;four;1
vierde;fourth;5
vierkante meter, de;square meter, the;7
vies;not tasty / dirty;9
vijf;five;1
vijfde;fifth;5
vinden;to find;2
vis, de;fish, the;2
vissen;to fish;2
vla, de;custard, pudding, the;5
vlees, het;meat, the;5
vleeswaren, de;meat products, the;5
vliegen;to fly;6
vliegtuig, het;airplane, the;6
vloer, de;floor, the;10
vluchten;to flee;10
voelen (zich -);to feel;10
voetballen;to play soccer;2
vol;full;6
volgen;to follow;6
volgend;next;6
volgens;according to;7
volkorenbrood, het;whole wheat bread, the;5
volleyballen;to play volleyball;2
